CIDADES:
Porto,41.1621,-8.622
Lisbon,38.7253,-9.15
Aves,41.44,-8.3
Sintra,38.7992,-9.3883
Vila Nova de Gaia,41.1333,-8.6167
Cascais,38.7,-9.4167
Loures,38.8333,-9.1667
Seixal,38.65,-9.1
Braga,41.5503,-8.42
Almada,38.6803,-9.1583
Matosinhos,41.1833,-8.7
Amadora,38.7333,-9.2333
Oeiras,38.6833,-9.3167
Gondomar,41.15,-8.5333
Guimaraes,41.45,-8.3
Odivelas,38.7903,-9.1797
Coimbra,40.2028,-8.4139
Vila Franca de Xira,38.95,-8.9833
Maia,41.2333,-8.6167
Famalicao,41.4,-8.5167
Leiria,39.75,-8.8
Barcelos,41.5167,-8.6167
Viseu,40.6667,-7.9167
Valongo,41.1833,-8.5
Viana do Castelo,41.7,-8.8333
Paredes,41.2064,-8.3333
Vila do Conde,41.3528,-8.7444
Torres Vedras,39.0833,-9.2667
Aveiro,40.6333,-8.65
Barreiro,38.6667,-9.0667
Queluz,38.7514,-9.2664
Mafra,38.9411,-9.3319
Penafiel,41.206,-8.284
Santo Tirso,41.3333,-8.4667
Loule,37.15,-8.0
Ponta Delgada,37.7411,-25.6806
Moita,38.65,-8.9833
Faro,37.0161,-7.935
Povoa de Varzim,41.38,-8.7608
Palmela,38.5667,-8.9
Santarem,39.2339,-8.6861
Figueira da Foz,40.15,-8.85
Felgueiras,41.3667,-8.2
Pacos de Ferreira,41.2667,-8.4
Amarante,41.2703,-8.0808
Castelo Branco,39.8167,-7.5
Portimao,37.1369,-8.5383
Ovar,40.8667,-8.6333
Pombal,39.9161,-8.6281
Alcobaca,39.5528,-8.9778
Evora,38.5667,-7.9
Marco de Canavezes,41.1833,-8.15
Vila Real,41.2958,-7.7461
Covilha,40.2833,-7.5
Caldas da Rainha,39.4072,-9.1358
Montijo,38.6833,-8.9
Rio Tinto,41.178,-8.56
Fafe,41.45,-8.1667
Sesimbra,38.4437,-9.0996
Amora,38.623,-9.12
Vila Verde,41.65,-8.4333
Agueda,40.5744,-8.4481
Vale de Cavalos,38.65,-9.15
Lousada,41.3,-8.24
Rio de Mouro,38.784,-9.322
Corroios,38.65,-9.15
Ourem,39.65,-8.5667
Olhao,37.026,-7.841
Albufeira,37.0897,-8.2458
Ponte de Lima,41.7667,-8.5667
Alenquer,39.05,-9.0167
Santa Cruz,32.6833,-16.8
Guarda,40.5333,-7.3333
Chaves,41.7406,-7.4714
Tomar,39.6,-8.4167
Abrantes,39.4633,-8.1975
Marinha Grande,39.75,-8.9333
Trofa,41.35,-8.55
Mafamude,41.135,-8.617
Ermezinde,41.217,-8.55
Silves,37.1869,-8.4389
Torres Novas,39.4667,-8.5333
Cantanhede,40.35,-8.5833
Beja,38.0333,-7.8833
Agualva,38.77,-9.2988
Camara de Lobos,32.6953,-16.9781
Angra do Heroismo,38.6556,-27.2194
Braganca,41.8067,-6.7589
Esposende,41.5333,-8.7833
Ribeira Grande,37.8225,-25.5181
Ilhavo,40.6,-8.6667
Lagos,37.1028,-8.6728
Espinho,41.0,-8.6333
Charneca,38.63,-9.2
Santiago do Cacem,38.0167,-8.7
Perafita,41.224,-8.698
Funchal,32.65,-16.9167
Povoa de Santa Iria,38.862,-9.069
Fundao,40.1333,-7.5
Anadia,40.4408,-8.435
Benavente,38.9667,-8.8
Senhora da Hora,41.186,-8.651
Tondela,40.5167,-8.0833
Arrentela,38.627,-9.103
Massama,38.757,-9.275
Aguas Santas,41.209,-8.589
Estarreja,40.75,-8.5667
Lamego,41.1008,-7.81
Peniche,39.35,-9.3667
Estoril,38.7042,-9.3983
Montemor-o-Velho,40.1667,-8.6833
Tavira,37.1167,-7.65
Odemira,37.5833,-8.6333
Lourinha,39.2333,-9.3
Albergaria-a-Velha,40.6933,-8.4811
Pinhal Novo,38.631,-8.914
Portalegre,39.3167,-7.4167
Cartaxo,39.15,-8.7833
Porto de Mos,39.6017,-8.8175
Pontinha,38.7769,-9.2039
Mirandela,41.4853,-7.1817
Vizela,41.3667,-8.2667
Almeirim,39.2,-8.6167
Canico,32.651,-16.841
Sao Mamede de Infesta,41.2,-8.6
